group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
D1Cre,554460_LLDLC_snapshot-1000,0,-0.09109629465351288,1.6394182710844665,-3.1413138083354832,3.139303065378893,0.0016047895438221253,5.779441280495202,-188.38973646145348,187.73108742667415,47.27293913920836,60.7636289258998,0.19257480686723752,447.0125696744305,0.14005553627212775,0.5688145394465097
D1Cre,554460_LLDLC_snapshot-1000,1,-0.04731532398911736,1.7165671723444236,-3.141581404653415,3.140975729746433,0.16665093966531008,10.664961998823946,-188.18823391079457,188.1352041684492,70.61819795822255,65.17412568986511,0.4093525057532096,413.8297647848772,0.1166261714682402,0.46210317460317457
D1Cre,554460_LLDLC_snapshot-1000,2,-0.05407739820406386,1.8391410188499617,-3.1407976057512386,3.140965985081516,-0.07871055326990913,13.285515012355233,-188.21444593122578,188.0516250660288,50.494839003834265,41.35869437722458,0.3858170159738499,361.04201399945487,0.08764317945157932,0.42072607260726075
D1Cre,554460_LLDLC_snapshot-1000,3,-0.07248977594415135,1.752876631025232,-3.1409247289885442,3.1414473090493793,0.0910743076550237,14.788700794173446,-187.6830055859509,186.93811633018495,50.04321197598328,38.21113297500358,0.6287427629375726,476.0216626837506,0.08295730649080181,0.40278940027894006
D1Cre,554460_LLDLC_snapshot-1000,4,-0.14080707572869075,1.5992120519903517,-3.1405052142380985,3.1394950094870913,0.5938127092608625,13.562855804598385,-187.79113269331182,5.285359067469601,92.32428187707215,65.97414985739817,2.1319782859463663,435.2802013466258,0.08486636584519264,0.3907293796864349
D1Cre,554460_LLDLC_snapshot-1000,5,0.006613164917273825,1.8514771873561215,-3.141506612717397,3.1415098121673113,-0.012024380954532322,13.017798020906437,-188.4420853648311,188.44115268798274,186.11961195498344,89.12228164058688,0.0,502.3949462130598,0.08174245053800763,0.767515923566879
D1Cre,554460_LLDLC_snapshot-1000,6,-0.37496410788435236,1.6235080316777586,-3.1400880802784115,3.140552945584492,-0.48679221997237543,13.893502044091653,-5.701681763181076,187.78642029023698,80.62693382045617,58.439036330183335,0.34857239986173527,427.4109627737047,0.06681707740367927,0.41073593073593073
D1Cre,554460_LLDLC_snapshot-1000,7,0.23289092416503832,1.6276826642744746,-3.1387104339255334,3.1409358863939776,-0.17730859598169746,9.813965910035025,-188.34328046353116,188.32003917260738,163.84541328802578,96.55180984235997,1.5623352967179591,508.73887139682347,0.06369316209649427,0.6996366939146231
D1Cre,554460_LLDLC_snapshot-1000,8,0.3676946846322842,1.897758326232551,-3.1410868053142247,3.1399973961172853,-0.07666328059618714,12.348071894326084,-188.32253188018882,188.08491331278117,87.89314042287239,74.43256348274645,0.9069686263711845,406.02387150138264,0.05970149253731343,0.8064922480620155
D1Cre,554460_LLDLC_snapshot-1000,9,0.08889809381824355,1.8125390720807408,-3.14099517908789,3.1397740549749953,-0.04404345374730151,12.092229510189611,-188.16740862099957,188.31009038214663,85.7614610267787,71.2007139003084,0.378648357399453,373.3010746488518,0.032106907323845885,0.4354954954954955
D1Cre,554460_LLDLC_snapshot-1000,10,-0.5080390692400827,1.7862281279347914,-3.14099517908789,3.1409554829142223,0.022256173135476835,9.883718777912268,-188.2899485145454,188.360565669779,69.7206796614873,67.07878837576513,0.506171491636127,458.9313809299454,0.030892051371051717,0.8138576779026218
D1Cre,554460_LLDLC_snapshot-1000,11,-0.23341120980116195,1.6571068972780276,-3.1330645794398766,3.1398293766460816,-0.016328174651970406,3.5620005443415366,-188.2457303320482,188.25982509782585,24.358466432963912,31.66193279253093,0.14420886022428797,382.30580573107886,0.026900381811870877,1.8036559139784947
D1Cre,554460_LLDLC_snapshot-1000,12,-0.10280781868465595,1.9105502523120763,-3.139580739272255,3.135841846833166,-0.006675150199373938,13.01822977237387,-187.35864953635746,186.90724837563602,32.261075396151156,24.276844485641714,0.6136712933364359,581.4912467836245,0.024991322457480043,0.5196759259259259
D1Cre,554460_LLDLC_snapshot-1000,13,0.1462546338725018,1.171576322302068,-3.105679757872298,3.1279021914030882,0.19211550251633597,5.191277888120358,-187.75927241258861,2.130809871854684,53.2892541268563,37.63148950933876,1.226525917847399,248.66621391305705,0.01874349184311003,0.8179012345679013
D1Cre,554460_LLDLC_snapshot-1000,14,0.7881271064867851,2.6549657675671168,-3.141426632496833,3.14060187707466,0.09857815042678954,24.909628860829947,-188.41520743647175,188.24842810098113,137.52893481397317,81.36508433199981,1.7667232858060047,380.46322946470593,0.011454356126345018,1.004040404040404
D1Cre,554460_LLDLC_snapshot-1000,15,-0.06255872597382074,2.2438110994146587,-3.1409233453032708,3.1364087017597333,0.035327458963017595,7.771068462831234,-188.33264928295657,188.30972445811304,55.748499800274736,44.03996505702456,0.9660453642435443,268.03146011697027,0.014578271433530025,1.1686507936507937
D1Cre,554460_LLDLC_snapshot-1000,16,0.21962659082156977,1.7377239537683127,-3.1368610214839863,3.1410210029185603,0.04983471592098248,2.939967447113881,-9.119438737771372,187.82296086261064,22.812821064969853,12.429522334126204,0.10072137859348884,91.25890867582439,0.010760152724748352,2.2333333333333334
D1Cre,554460_LLDLC_snapshot-1000,17,0.2091098127441764,0.40256365846172315,-0.8208957481573816,3.0288661044268914,-0.6302858693558877,0.8813338138056235,-3.4877838353846546,1.976371313392367,149.94230029645095,84.69971891436666,4.125714659965719,372.10597385084776,0.0026032627559875042,0.7533333333333334
D1Cre,554460_LLDLC_snapshot-1000,18,-0.3015252346173423,2.1643715885182484,-3.1400179487247644,3.126213614523135,-1.0077461759836768,21.01049808362662,-187.92393079777372,188.0876512392725,31.255382989409796,19.0587409578565,0.5244808293148596,133.1972471887522,0.004165220409580007,0.6666666666666666
D1Cre,554460_LLDLC_snapshot-1000,19,0.24934608434726765,1.6254191599924572,-3.1083595016534136,3.107624833955869,1.6544968916567468,15.615055791198989,-7.344792172016966,187.36869264002968,49.524847623624076,25.791693796648104,3.5535848688016545,123.22092597007146,0.0064213814647691774,0.13333333333333333
D1Cre,554460_LLDLC_snapshot-1000,20,-0.5174845679727513,2.356891038607282,-3.12762843354208,3.1305563401378427,-0.271711102458135,23.29053106628659,-187.05309583318302,184.35237367976416,35.322210078355766,22.250280272498742,1.1104774300633315,139.65896163154844,0.005727178063172509,0.2545454545454546
D1Cre,554460_LRDLC_snapshot-1000,0,-0.10126607267259731,1.826859155908651,-3.141556659499602,3.140576037890812,0.025605468928491776,9.737687512211512,-188.41633001533614,188.46061336333852,51.452303510845304,64.33471858698982,0.20884649927334106,464.8532836295395,0.152007136485281,0.5976525821596244
D1Cre,554460_LRDLC_snapshot-1000,1,-0.10215679072580068,1.6570639052198786,-3.14115198535766,3.1411620239589615,0.06835207421457584,9.308233565086253,-187.97381701089384,188.42035216997186,69.5651459227838,60.62674938663661,0.510913178962424,405.0229818835026,0.12007136485280999,0.4647350173353145
D1Cre,554460_LRDLC_snapshot-1000,2,-0.28607905799266037,1.936099015367904,-3.141427380734783,3.1410041421255768,0.026258447899786517,14.365913103156977,-188.13121278873086,188.1364851539928,46.906657716673,37.5886379176251,0.5860602988791582,388.72042351090494,0.11186440677966102,0.462254120148857
D1Cre,554460_LRDLC_snapshot-1000,3,0.02286823394103048,1.7848553064269852,-3.140019472951629,3.1387972597262865,0.009149735511175407,13.97982810399396,-188.0789712065186,5.538853377780773,45.83580571799681,36.648364712427885,0.43698757830885904,381.1614407411831,0.0792149866190901,0.4188438438438438
D1Cre,554460_LRDLC_snapshot-1000,4,-0.09562777163098261,1.6486028834909123,-3.13987557718234,3.136032620366496,0.6548101933982969,13.279198027970986,-187.77923722567058,186.99017082415298,92.6667351079336,69.9277678710663,1.8419612017255445,439.41941352746153,0.06119536128456735,0.29280855199222544
D1Cre,554460_LRDLC_snapshot-1000,5,0.1423319536901844,1.8479320172990688,-3.1411018308812024,3.1415700586662436,-0.14115643070936196,14.31662901155455,-188.202654823485,188.2606146194082,183.32464089323324,86.88615336467575,1.506110115481526,492.6263367551827,0.06208742194469224,0.8082375478927203
D1Cre,554460_LRDLC_snapshot-1000,6,-0.5468194202051199,1.6901301842772607,-3.139513362724865,3.139226023020209,-0.558335015822087,15.075164650088126,-5.431583614007961,188.27983446030552,82.19576412974897,57.08041765666225,0.9403773565030491,324.2144536646919,0.06494201605709188,0.35549450549450545
D1Cre,554460_LRDLC_snapshot-1000,7,-0.06137373056095423,1.729030045757504,-3.139645545765358,3.1410801943176345,-0.27994466328581,8.779042354369425,-187.95103084406634,188.2103564246958,166.78214383480469,88.04471522153139,2.1196993910683646,446.1032739143566,0.05816235504014273,0.6148261758691207
D1Cre,554460_LRDLC_snapshot-1000,8,-0.05619544953237697,1.9009028305317062,-3.141538632330692,3.138065316487963,0.06402950374313662,12.512492229994873,-188.27455179065717,188.33401042531946,82.6952051747832,74.44920279863621,0.4196752348065226,458.4613591086302,0.05031222123104371,0.7472813238770686
D1Cre,554460_LRDLC_snapshot-1000,9,-0.5636429941485455,1.9575970436010646,-3.1382330568279633,3.1337346047755337,0.1963994463549913,9.576088310857497,-188.13394243762434,188.1505087865545,80.56140875423995,65.93462285277705,0.683737443761994,315.6463019172129,0.023371989295272077,0.4300254452926209
D1Cre,554460_LRDLC_snapshot-1000,10,-0.2852658355623841,2.0555330025323095,-3.141531150216007,3.141525512616711,0.14421709689739937,13.3730792481967,-188.41573649778132,188.45957603190354,64.15377099821445,58.0300847536239,0.24933488314940885,393.9471647365365,0.04067796610169491,1.1239766081871345
D1Cre,554460_LRDLC_snapshot-1000,11,-0.41180060524686835,1.6850546174802599,-3.140894959038421,3.1347530571083837,-0.045892706943408176,4.194278643209225,-188.4547986531768,187.88250631731145,24.80020059226245,31.044903197268642,0.3113753407128016,348.7158876571837,0.029794826048171276,1.6079840319361276
D1Cre,554460_LRDLC_snapshot-1000,12,0.19233337041576476,2.057111833622509,-3.1412486013925642,3.134805992167193,-0.32126507241767577,15.090242895873104,-188.00696743074582,187.6004279268603,28.752746417194764,18.28302917830472,0.0,253.3639459169378,0.02533452274754683,0.5293427230046949
D1Cre,554460_LRDLC_snapshot-1000,13,0.26839126426022464,1.7842342566595344,-3.1391591140842534,3.1342855902257876,0.10505170999001777,4.4847905242079005,-187.7930203092378,2.387872946002574,51.581159966465044,46.61687599256908,0.34430074603898525,395.9582913024563,0.01320249776984835,0.8045045045045046
