name,group
554460_LDLC_snapshot-1000,WT
554460_LLDLC_snapshot-1000,D1Cre
554460_LRDLC_snapshot-1000,D1Cre
554460_RDLC_snapshot-1000,WT
554460_RRDLC_snapshot-1000,D1Cre
554462_LDLC_snapshot-1000,WT
554462_LRDLC_snapshot-1000,D1Cre
554462_RDLC_snapshot-1000,WT
554467_LDLC_snapshot-1000,D1Cre
554467_LRDLC_snapshot-1000,WT
554467_RDLC_snapshot-1000,WT
554469_LDLC_snapshot-1000,D1Cre
554469_RDLC_snapshot-1000,WT
